MorphologicalFeature;PictureNumberAll;IndividualPlantNumberAll;PictureNumberTrain;IndividualPlantNumberTrain;PictureNumberTest;IndividualPlantNumberTest;perfectRun_OfficialScore_InverseRank;randomRun_0_OfficialScore_InverseRank;randomRun_1_OfficialScore_InverseRank;randomRun_2_OfficialScore_InverseRank;randomRun_3_OfficialScore_InverseRank;randomRun_4_OfficialScore_InverseRank;
color: dark;2899;153;2146;102;753;51;1.0000000;0.0224432;0.0255407;0.0204021;0.0130209;0.0126171;
color: light;1200;108;840;67;360;41;1.0000000;0.0418773;0.0121891;0.0084949;0.0240418;0.0131458;
lobation: bilobed;55;8;49;7;6;1;1.0000000;0.0185185;0.0833333;0.0000000;0.0000000;0.0000000;
lobation: lobes;1233;115;834;73;399;42;1.0000000;0.0128682;0.0072713;0.0085058;0.0167799;0.0115367;
lobation: no lobes;5397;352;4036;237;1361;115;1.0000000;0.0244676;0.0240164;0.0140694;0.0126745;0.0134781;
lobation: palmately lobed;939;82;660;53;279;29;1.0000000;0.0128667;0.0114079;0.0100805;0.0204138;0.0074579;
lobation: pinnately lobed;294;33;174;20;120;13;1.0000000;0.0129375;0.0027218;0.0083043;0.0119872;0.0265448;
margin: entire;3413;187;2532;130;881;57;1.0000000;0.0215974;0.0334152;0.0097164;0.0134517;0.0146067;
margin: toothed;3507;293;2594;189;913;104;1.0000000;0.0224548;0.0181333;0.0174442;0.0131128;0.0103832;
margin: toothed crenate;1099;96;830;64;269;32;1.0000000;0.0110973;0.0125364;0.0118839;0.0104746;0.0182800;
margin: toothed dentate;1317;112;970;75;347;37;1.0000000;0.0086916;0.0068062;0.0151378;0.0202029;0.0160844;
margin: toothed serrate ;2081;167;1559;111;522;56;1.0000000;0.0295233;0.0222486;0.0226577;0.0130540;0.0054442;
organisation: bipinnately compound;87;3;77;2;10;1;1.0000000;0.0000000;0.0000000;0.0000000;0.0000000;0.0000000;
organisation: compound;921;75;705;51;216;24;1.0000000;0.0120906;0.0652598;0.0119444;0.0157669;0.0091720;
organisation: palmately compound;106;14;86;11;20;3;1.0000000;0.0111111;0.0000000;0.0000000;0.0000000;0.0000000;
organisation: pinnately compound;770;60;574;39;196;21;1.0000000;0.0121006;0.0667599;0.0119444;0.0171160;0.0094993;
organisation: simple;5709;392;4165;259;1544;133;1.0000000;0.0245258;0.0181137;0.0140720;0.0125417;0.0132596;
organisation: trifoliate compound;0;0;0;0;0;0;null;null;null;null;null;null;
shape: asymmetrical;327;20;229;13;98;7;1.0000000;0.0066667;0.0561313;0.0165776;0.0372445;0.0433466;
shape: elliptic;3008;179;2264;119;744;60;1.0000000;0.0417486;0.0235988;0.0168400;0.0134254;0.0155253;
shape: lanceolate;2226;140;1556;94;670;46;1.0000000;0.0152561;0.0188075;0.0130647;0.0164227;0.0131448;
shape: linear;897;26;501;16;396;10;1.0000000;0.0940701;0.0193353;0.0161991;0.0195347;0.0140390;
shape: lobate;1248;117;873;77;375;40;1.0000000;0.0127634;0.0114034;0.0084540;0.0179518;0.0072182;
shape: oboval;1103;80;850;53;253;27;1.0000000;0.0223579;0.0076433;0.0139827;0.0157511;0.0076676;
shape: orbicular;1019;80;700;51;319;29;1.0000000;0.0117024;0.0166891;0.0074644;0.0092900;0.0149610;
stipule;128;11;115;9;13;2;1.0000000;0.0000000;0.0238095;0.0000000;0.0238095;0.0000000;
surface: mate;4444;322;3086;212;1358;110;1.0000000;0.0160705;0.0210133;0.0108809;0.0151013;0.0151152;
surface: shiny;2189;141;1784;96;405;45;1.0000000;0.0484560;0.0234535;0.0239676;0.0155326;0.0123958;
thorn;367;17;285;11;82;6;1.0000000;0.0277778;0.0197049;0.0278708;0.0229167;0.0138269;
venation: arcuate;2460;176;1687;123;773;53;1.0000000;0.0239955;0.0331986;0.0223251;0.0108862;0.0064487;
venation: no;45;1;45;1;0;0;null;null;null;null;null;null;
venation: one main median;825;21;646;14;179;7;1.0000000;0.0096015;0.0165075;0.0237558;0.0198032;0.0275880;
venation: palmate;680;63;462;43;218;20;1.0000000;0.0168434;0.0262320;0.0189943;0.0311385;0.0087806;
venation: parallel;228;23;184;18;44;5;1.0000000;0.0082011;0.0338542;0.0140625;0.0083333;0.0015625;
venation: pinnate;2250;184;1653;122;597;62;1.0000000;0.0157367;0.0186685;0.0144389;0.0152533;0.0188398;
