MorphologicalFeature;PictureNumberAll;IndividualPlantNumberAll;PictureNumberTest;IndividualPlantNumberTest;PictureNumberTrain;IndividualPlantNumberTrain;perfectRun_OfficialScore_InverseRank;randomRun_0_OfficialScore_InverseRank;randomRun_1_OfficialScore_InverseRank;randomRun_2_OfficialScore_InverseRank;randomRun_3_OfficialScore_InverseRank;randomRun_4_OfficialScore_InverseRank;
color: dark;928;192;720;101;208;91;1.0000000;0.0120465;0.0236193;0.1054638;0.0075168;0.0086595;
color: light;175;60;122;33;53;27;1.0000000;0.0283122;0.0874919;0.0125880;0.0055285;0.0022152;
lobation: bilobed;63;5;61;3;2;2;1.0000000;0.0050000;0.0029167;0.0050000;0.0091667;0.0101667;
lobation: lobes;522;107;387;59;135;48;1.0000000;0.0023408;0.0311603;0.0032225;0.0021697;0.0009217;
lobation: no lobes;1694;359;1346;194;348;165;1.0000000;0.0132591;0.0253854;0.0383568;0.0121825;0.0105297;
lobation: palmately lobed;462;100;342;55;120;45;1.0000000;0.0024311;0.0313207;0.0036204;0.0023443;0.0010241;
lobation: pinnately lobed;60;7;45;4;15;3;1.0000000;0.0060976;0.0005807;0.0000000;0.0040650;0.0000000;
margin: entire;1294;251;1024;132;270;119;1.0000000;0.0107988;0.0402697;0.0432471;0.0154060;0.0054833;
margin: toothed;1058;239;829;133;229;106;1.0000000;0.0100100;0.0222607;0.0192194;0.0043550;0.0130797;
margin: toothed crenate;369;78;297;45;72;33;1.0000000;0.0051917;0.0137708;0.0038845;0.0081533;0.0469559;
margin: toothed dentate;525;133;418;72;107;61;1.0000000;0.0128111;0.0329613;0.0336566;0.0055472;0.0044224;
margin: toothed serrate ;608;119;485;67;123;52;1.0000000;0.0084266;0.0027847;0.0313993;0.0031107;0.0233878;
organisation: bipinnately compound;45;9;40;5;5;4;1.0000000;0.0048044;0.1323342;0.0022321;0.0007440;0.0008929;
organisation: compound;470;107;376;57;94;50;1.0000000;0.0085100;0.0141833;0.0017006;0.0004332;0.0114506;
organisation: palmately compound;95;20;80;11;15;9;1.0000000;0.0214865;0.0011136;0.0006868;0.0002753;0.0016812;
organisation: pinnately compound;338;83;262;44;76;39;1.0000000;0.0085225;0.0154107;0.0023801;0.0005274;0.0124663;
organisation: simple;1746;359;1357;196;389;163;1.0000000;0.0167209;0.0369853;0.0468477;0.0117115;0.0048045;
organisation: trifoliate compound;7;2;6;1;1;1;1.0000000;0.0333333;0.0000000;0.0000000;0.0000000;0.0000000;
shape: asymmetrical;89;33;63;18;26;15;1.0000000;0.0165680;0.0291249;0.0458124;0.0000000;0.0014214;
shape: elliptic;845;185;680;101;165;84;1.0000000;0.0238691;0.0410338;0.1031899;0.0181820;0.0088084;
shape: lanceolate;440;98;311;55;129;43;1.0000000;0.0162743;0.0250357;0.0343883;0.0083851;0.0028046;
shape: linear;133;38;107;20;26;18;1.0000000;0.0004300;0.0402449;0.0148167;0.0050223;0.0067286;
shape: lobate;570;109;445;60;125;49;1.0000000;0.0023750;0.0332726;0.0031758;0.0022157;0.0010298;
shape: oboval;441;55;364;30;77;25;1.0000000;0.0061519;0.0140826;0.0505792;0.0351283;0.0035106;
shape: orbicular;325;77;244;41;81;36;1.0000000;0.0042296;0.0141330;0.0844588;0.0141884;0.0022618;
stipule;106;16;97;9;9;7;1.0000000;0.0109413;0.0726048;0.0003101;0.0040933;0.0012920;
surface: mate;1408;322;1115;177;293;145;1.0000000;0.0103305;0.0387175;0.0090247;0.0097985;0.0101856;
surface: shiny;808;144;618;76;190;68;1.0000000;0.0190471;0.0056012;0.1145324;0.0102091;0.0092483;
thorn;176;44;147;22;29;22;1.0000000;0.0019795;0.0428059;0.0046067;0.0288358;0.0147059;
venation: arcuate;1111;230;888;122;223;108;1.0000000;0.0092375;0.0112636;0.0653733;0.0159150;0.0142745;
venation: no;30;2;28;1;2;1;1.0000000;0.0051020;0.0586735;0.0178571;0.0059524;0.0071429;
venation: one main median;133;38;107;20;26;18;1.0000000;0.0004300;0.0402449;0.0148167;0.0050223;0.0067286;
venation: palmate;352;94;266;50;86;44;1.0000000;0.0030541;0.0324040;0.0099060;0.0099611;0.0012131;
venation: parallel;72;11;68;7;4;4;1.0000000;0.0082500;0.0011667;0.0020000;0.0161667;0.0040667;
venation: pinnate;887;181;674;100;213;81;1.0000000;0.0022337;0.0171296;0.0228807;0.0041986;0.0019867;
